Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	475.208732791	475.880732791	2533.623	3846.123	BTF
2	Spectrogram 1	1	484.107107864	484.779107864	2488.054	3800.554	BTF
3	Spectrogram 1	1	503.63102439	504.30302439	2442.484	3754.984	BTF
4	Spectrogram 1	1	1571.847015069	1572.519015069	2518.434	3830.934	BTF
5	Spectrogram 1	1	1593.08685184	1593.75885184	2548.813	3861.313	BTF
6	Spectrogram 1	1	1594.647841609	1595.319841609	2639.953	3952.453	BTF
7	Spectrogram 1	1	1868.721038082	1869.393038082	2214.636	3527.136	BTF
8	Spectrogram 1	1	3842.240114583	3842.912114583	2437.5	3750	BTF
9	Spectrogram 1	1	4722.615601209	4723.287601209	2503.244	3815.744	BTF
10	Spectrogram 1	1	5458.784334477	5459.456334477	2396.915	3709.415	BTF
11	Spectrogram 1	1	5459.690838542	5460.362838542	2156.25	3468.75	BTF
12	Spectrogram 1	1	6568.400329764	6569.072329764	2184.256	3496.756	BTF
13	Spectrogram 1	1	6615.499462102	6616.171462102	2670.332	3982.832	BTF
14	Spectrogram 1	1	6622.091298535	6622.763298535	2564.003	3876.503	BTF
15	Spectrogram 1	1	6624.688859511	6625.360859511	2791.851	4104.351	BTF
16	Spectrogram 1	1	6692.45318882	6693.12518882	2776.661	4089.161	BTF
