Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	60.566415956	61.238415956	3308.307	4620.807	BTF
2	Spectrogram 1	1	1168.265172732	1168.937172732	2442.484	3754.984	BTF
3	Spectrogram 1	1	1170.533465414	1171.205465414	2533.623	3846.123	BTF
4	Spectrogram 1	1	1442.704074749	1443.376074749	2564.003	3876.503	BTF
5	Spectrogram 1	1	1446.525211606	1447.197211606	2548.813	3861.313	BTF
6	Spectrogram 1	1	1754.744616758	1755.416616758	2199.446	3511.946	BTF
7	Spectrogram 1	1	2183.854186652	2184.526186652	2336.155	3648.655	BTF
8	Spectrogram 1	1	2185.630608062	2186.302608062	2381.725	3694.225	BTF
9	Spectrogram 1	1	4575.052322922	4575.724322922	2503.244	3815.744	BTF
10	Spectrogram 1	1	4576.60110341	4577.27310341	2624.763	3937.263	BTF
11	Spectrogram 1	1	4576.85313593	4577.52513593	2472.864	3785.364	BTF
12	Spectrogram 1	1	4577.832810727	4578.504810727	1895.649	3208.149	BTF
13	Spectrogram 1	1	4578.097038369	4578.769038369	2761.472	4073.972	BTF
14	Spectrogram 1	1	4579.670209101	4580.342209101	2533.623	3846.123	BTF
15	Spectrogram 1	1	4580.0401278	4580.7121278	2579.193	3891.693	BTF
16	Spectrogram 1	1	4581.174272787	4581.846272787	2290.585	3603.085	BTF
17	Spectrogram 1	1	4607.475078307	4608.147078307	2609.573	3922.073	BTF
18	Spectrogram 1	1	4609.206785624	4609.878785624	2153.877	3466.377	BTF
19	Spectrogram 1	1	4612.336865571	4613.008865571	2336.155	3648.655	BTF
20	Spectrogram 1	1	4612.83280053	4613.50480053	2032.358	3344.858	BTF
21	Spectrogram 1	1	4615.186459066	4615.858459066	2229.826	3542.326	BTF
22	Spectrogram 1	1	4616.849059338	4617.521059338	2564.003	3876.503	BTF
23	Spectrogram 1	1	4617.844994297	4618.516994297	2169.066	3481.566	BTF
24	Spectrogram 1	1	4619.11328698	4619.78528698	2837.421	4149.921	BTF
25	Spectrogram 1	1	4619.483205679	4620.155205679	2442.484	3754.984	BTF
26	Spectrogram 1	1	4622.792147414	4623.464147414	2290.585	3603.085	BTF
27	Spectrogram 1	1	4623.60512947	4624.27712947	2245.016	3557.516	BTF
28	Spectrogram 1	1	4625.515699467	4626.187699467	2336.155	3648.655	BTF
29	Spectrogram 1	1	4642.942523317	4643.614523317	2245.016	3557.516	BTF
30	Spectrogram 1	1	4646.698619524	4647.370619524	2351.345	3663.845	BTF
31	Spectrogram 1	1	4649.336794329	4650.008794329	2396.915	3709.415	BTF
32	Spectrogram 1	1	4650.064436606	4650.736436606	2229.826	3542.326	BTF
33	Spectrogram 1	1	4655.848988097	4656.520988097	2305.775	3618.275	BTF
34	Spectrogram 1	1	5818.50699845	5819.17899845	3141.218	4453.718	BTF
35	Spectrogram 1	1	5819.840331783	5820.512331783	3247.547	4560.047	BTF
36	Spectrogram 1	1	5823.405371079	5824.077371079	3217.168	4529.668	BTF
