Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	485.433713762	486.105713762	1800	4000	BTF
2	Spectrogram 1	1	487.980055233	488.652055233	1800	4000	BTF
3	Spectrogram 1	1	491.150786941	491.822786941	1800	4000	BTF
4	Spectrogram 1	1	493.867860119	494.539860119	1800	4000	BTF
5	Spectrogram 1	1	500.170299152	500.842299152	1800	4000	BTF
6	Spectrogram 1	1	503.721518672	504.393518672	1800	4000	BTF
7	Spectrogram 1	1	507.341030842	508.013030842	1800	4000	BTF
8	Spectrogram 1	1	508.784933281	509.456933281	1800	4000	BTF
9	Spectrogram 1	1	511.638591825	512.310591825	1800	4000	BTF
10	Spectrogram 1	1	1134.277612276	1134.949612276	1800	4000	BTF
11	Spectrogram 1	1	1136.589810972	1137.261810972	1800	4000	BTF
12	Spectrogram 1	1	1140.087371955	1140.759371955	1800	4000	BTF
13	Spectrogram 1	1	1144.062981711	1144.734981711	1800	4000	BTF
14	Spectrogram 1	1	1147.614201231	1148.286201231	1800	4000	BTF
15	Spectrogram 1	1	1169.194689076	1169.866689076	1800	4000	BTF
16	Spectrogram 1	1	1708.570293931	1709.242293931	1800	4000	BTF
17	Spectrogram 1	1	1722.087366298	1722.759366298	1800	4000	BTF
18	Spectrogram 1	1	1763.848348225	1764.520348225	1800	4000	BTF
