Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	192.852013156	193.524013156	1800	4000	BTF
2	Spectrogram 1	1	195.212988765	195.884988765	1800	4000	BTF
3	Spectrogram 1	1	1257.095725482	1257.767725482	1800	4000	BTF
4	Spectrogram 1	1	1259.603042556	1260.275042556	1800	4000	BTF
5	Spectrogram 1	1	1295.382290504	1296.054290504	1800	4000	BTF
6	Spectrogram 1	1	1296.245705138	1296.917705138	1800	4000	BTF
7	Spectrogram 1	1	1298.65546157	1299.32746157	1800	4000	BTF
8	Spectrogram 1	1	1300.113998155	1300.785998155	1800	4000	BTF
9	Spectrogram 1	1	1302.031071661	1302.703071661	1800	4000	BTF
10	Spectrogram 1	1	1422.364871364	1423.036871364	1800	4000	BTF
11	Spectrogram 1	1	1430.959993985	1431.631993985	1800	4000	BTF
12	Spectrogram 1	1	1569.572644942	1570.244644942	1800	4000	BTF
13	Spectrogram 1	1	1571.3384986	1572.0104986	1800	4000	BTF
