Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	37.929498706	38.601498706	1800	4000	BTF
2	Spectrogram 1	1	39.480718219	40.152718219	1800	4000	BTF
3	Spectrogram 1	1	83.940144652	84.612144652	1800	4000	BTF
4	Spectrogram 1	1	85.959656847	86.631656847	1800	4000	BTF
5	Spectrogram 1	1	89.788924239	90.460924239	1800	4000	BTF
6	Spectrogram 1	1	106.574289045	107.246289045	1800	4000	BTF
7	Spectrogram 1	1	125.730384658	126.402384658	1800	4000	BTF
8	Spectrogram 1	1	138.75477468	139.42677468	1800	4000	BTF
9	Spectrogram 1	1	152.198676897	152.870676897	1800	4000	BTF
10	Spectrogram 1	1	153.340140311	154.012140311	1800	4000	BTF
11	Spectrogram 1	1	154.159652506	154.831652506	1800	4000	BTF
12	Spectrogram 1	1	157.686481701	158.358481701	1800	4000	BTF
13	Spectrogram 1	1	158.315749993	158.987749993	1800	4000	BTF
14	Spectrogram 1	1	160.349896335	161.021896335	1800	4000	BTF
15	Spectrogram 1	1	162.764530407	163.436530407	1800	4000	BTF
16	Spectrogram 1	1	163.662091383	164.334091383	1800	4000	BTF
17	Spectrogram 1	1	166.61818887	167.29018887	1800	4000	BTF
18	Spectrogram 1	1	170.740140015	171.412140015	1800	4000	BTF
19	Spectrogram 1	1	172.793798552	173.465798552	1800	4000	BTF
20	Spectrogram 1	1	175.471847332	176.143847332	1800	4000	BTF
21	Spectrogram 1	1	176.647457014	177.319457014	1800	4000	BTF
22	Spectrogram 1	1	177.862091161	178.534091161	1800	4000	BTF
23	Spectrogram 1	1	191.008432402	191.680432402	1800	4000	BTF
24	Spectrogram 1	1	196.364529889	197.036529889	1800	4000	BTF
25	Spectrogram 1	1	223.501114811	224.173114811	1800	4000	BTF
26	Spectrogram 1	1	494.39379695	495.06579695	1800	4000	BTF
27	Spectrogram 1	1	496.623065243	497.295065243	1800	4000	BTF
28	Spectrogram 1	1	498.057211584	498.729211584	1800	4000	BTF
29	Spectrogram 1	1	498.296235974	498.968235974	1800	4000	BTF
30	Spectrogram 1	1	500.364528583	501.036528583	1800	4000	BTF
