Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	12.582429219	13.254429219	2184.256	3496.756	BTF
2	Spectrogram 1	1	21.696249497	22.368249497	2108.307	3420.807	BTF
3	Spectrogram 1	1	26.749094739	27.421094739	2169.066	3481.566	BTF
4	Spectrogram 1	1	97.853406945	98.525406945	2138.687	3451.187	BTF
5	Spectrogram 1	1	104.292430762	104.964430762	2047.547	3360.047	BTF
6	Spectrogram 1	1	122.813281751	123.485281751	2245.016	3557.516	BTF
7	Spectrogram 1	1	126.890517237	127.562517237	2336.155	3648.655	BTF
8	Spectrogram 1	1	129.788890934	130.460890934	2320.965	3633.465	BTF
9	Spectrogram 1	1	143.802666700	144.474666700	2625.000	3609.375	BTF
10	Spectrogram 1	1	146.502445022	147.174445022	2320.965	3633.465	BTF
11	Spectrogram 1	1	147.920000000	148.592000000	2625.000	3609.375	BTF
12	Spectrogram 1	1	148.901333300	149.573333300	2625.000	3609.375	BTF
13	Spectrogram 1	1	149.349333300	150.021333300	2531.250	3515.625	BTF
14	Spectrogram 1	1	151.034666700	151.706666700	2625.000	3609.375	BTF
15	Spectrogram 1	1	156.201631441	156.873631441	2351.345	3663.845	BTF
16	Spectrogram 1	1	159.827647414	160.499647414	2229.826	3542.326	BTF
17	Spectrogram 1	1	189.731218016	190.403218016	2093.117	3405.617	BTF
18	Spectrogram 1	1	190.950730212	191.622730212	2047.547	3360.047	BTF
19	Spectrogram 1	1	192.706827773	193.378827773	2123.497	3435.997	BTF
20	Spectrogram 1	1	194.263737229	194.935737229	2077.927	3390.427	BTF
21	Spectrogram 1	1	195.088000000	195.760000000	2625.000	3609.375	BTF
22	Spectrogram 1	1	196.567915362	197.239915362	2548.813	3861.313	BTF
23	Spectrogram 1	1	198.650666700	199.322666700	2625.000	3609.375	BTF
24	Spectrogram 1	1	199.738666700	200.410666700	2625.000	3609.375	BTF
25	Spectrogram 1	1	200.531329982	201.203329982	2564.003	3876.503	BTF
26	Spectrogram 1	1	201.864663315	202.536663315	2503.244	3815.744	BTF
27	Spectrogram 1	1	203.490679576	204.162679576	2639.953	3952.453	BTF
28	Spectrogram 1	1	206.884988232	207.556988232	2731.092	4043.592	BTF
29	Spectrogram 1	1	215.063849448	215.735849448	2700.712	4013.212	BTF
30	Spectrogram 1	1	223.893117168	224.565117168	2685.522	3998.022	BTF
31	Spectrogram 1	1	255.098666700	255.770666700	2531.250	3515.625	BTF
32	Spectrogram 1	1	261.579448678	262.251448678	2229.826	3542.326	BTF
33	Spectrogram 1	1	262.555058434	263.227058434	2852.611	4165.111	BTF
34	Spectrogram 1	1	265.360000000	266.032000000	2531.250	3515.625	BTF
35	Spectrogram 1	1	265.829333300	266.501333300	2625.000	3609.375	BTF
36	Spectrogram 1	1	311.994666700	312.666666700	2203.125	3187.500	BTF
37	Spectrogram 1	1	512.997333300	513.669333300	2625.000	3609.375	BTF
38	Spectrogram 1	1	613.390609313	614.062609313	2169.066	3481.566	BTF
39	Spectrogram 1	1	614.202666700	614.874666700	2203.125	3187.500	BTF
40	Spectrogram 1	1	615.528820695	616.200820695	2169.066	3481.566	BTF
41	Spectrogram 1	1	641.509333300	642.181333300	2906.250	3890.625	BTF
